step_time,reward,total_stopped,total_wait_time
3490.0,-49.0,53,2919.0
3495.0,-136.0,52,3133.0
3500.0,-214.0,46,3292.0
3505.0,-159.0,44,3176.0
3510.0,116.0,41,2822.0
3515.0,354.0,38,2831.0
3520.0,-9.0,33,2738.0
3525.0,93.0,28,2716.0
3530.0,22.0,31,2785.0
3535.0,-69.0,36,2900.0
3540.0,-115.0,36,3000.0
3545.0,-100.0,38,2893.0
3550.0,107.0,35,3005.0
3555.0,-112.0,31,3151.0
3560.0,-146.0,30,3020.0
3565.0,131.0,41,2977.0
3570.0,43.0,42,3165.0
3575.0,-188.0,54,3315.0
3580.0,-150.0,52,3389.0
3585.0,-74.0,50,3395.0
3590.0,-6.0,45,3424.0
3595.0,-29.0,48,3306.0
3600.0,118.0,50,2953.0
3605.0,353.0,42,2939.0
3610.0,14.0,36,3064.0
3615.0,-125.0,33,3117.0
3620.0,-53.0,33,3093.0
3625.0,24.0,36,3195.0
3630.0,-102.0,39,3304.0
3635.0,-109.0,43,3371.0
3640.0,-67.0,39,3219.0
3645.0,152.0,37,3341.0
3650.0,-122.0,35,3202.0
3655.0,139.0,36,3283.0
3660.0,-81.0,31,3286.0
3665.0,-3.0,31,3099.0
3670.0,187.0,27,3155.0
3675.0,-56.0,34,3225.0
3680.0,-70.0,39,3332.0
3685.0,-107.0,41,3365.0
3690.0,-33.0,45,3194.0
3695.0,171.0,36,3318.0
3700.0,-124.0,33,3188.0
3705.0,130.0,27,2773.0
3710.0,415.0,27,2839.0
3715.0,-66.0,39,2924.0
3720.0,-85.0,36,2835.0
3725.0,89.0,36,2937.0
3730.0,-102.0,30,2960.0
3735.0,-23.0,29,3009.0
3740.0,-49.0,37,2912.0
3745.0,97.0,49,2657.0
3750.0,255.0,43,2794.0
3755.0,-137.0,35,2905.0
3760.0,-111.0,45,2752.0
3765.0,153.0,42,2737.0
3770.0,15.0,51,2476.0
3775.0,261.0,46,2504.0
3780.0,-28.0,43,2521.0
3785.0,-17.0,43,2482.0
3790.0,39.0,41,2523.0
3795.0,-41.0,39,2495.0
3800.0,28.0,34,2333.0
3805.0,162.0,34,2414.0
3810.0,-81.0,35,2437.0
3815.0,-23.0,38,2437.0
3820.0,0.0,43,2560.0
3825.0,-123.0,36,2632.0
3830.0,-72.0,34,2470.0
3835.0,162.0,47,2559.0
3840.0,-89.0,56,2626.0
3845.0,-67.0,58,2520.0
3850.0,106.0,50,2573.0
3855.0,-53.0,42,2559.0
3860.0,14.0,42,2485.0
3865.0,74.0,43,2526.0
3870.0,-41.0,43,2520.0
3875.0,6.0,39,2437.0
3880.0,83.0,36,2503.0
3885.0,-66.0,34,2560.0
3890.0,-57.0,36,2345.0
3895.0,215.0,39,2373.0
3900.0,-28.0,38,2505.0
3905.0,-132.0,40,2603.0
3910.0,-98.0,38,2612.0
3915.0,-9.0,39,2536.0
3920.0,76.0,40,2448.0
3925.0,88.0,50,2603.0
3930.0,-155.0,43,2727.0
3935.0,-124.0,36,2640.0
3940.0,87.0,36,2720.0
3945.0,-80.0,35,2847.0
3950.0,-127.0,36,2785.0
3955.0,62.0,40,2919.0
3960.0,-134.0,44,3012.0
3965.0,-93.0,39,3163.0
3970.0,-151.0,40,3242.0
3975.0,-79.0,48,3390.0
3980.0,-148.0,46,3367.0
3985.0,23.0,45,3111.0
3990.0,256.0,41,3075.0
3995.0,36.0,46,3258.0
4000.0,-183.0,47,3293.0
4005.0,-35.0,46,3280.0
4010.0,13.0,56,3390.0
4015.0,-110.0,65,3677.0
4020.0,-287.0,62,3535.0
4025.0,142.0,51,3737.0
4030.0,-202.0,49,3854.0
4035.0,-117.0,46,3861.0
4040.0,-7.0,35,3988.0
4045.0,-127.0,38,4032.0
4050.0,-44.0,36,4042.0
4055.0,-10.0,39,4194.0
4060.0,-152.0,49,4365.0
4065.0,-171.0,50,4537.0
4070.0,-172.0,52,4765.0
4075.0,-228.0,63,5045.0
4080.0,-280.0,59,5050.0
4085.0,-5.0,58,5295.0
4090.0,-245.0,46,5263.0
4095.0,32.0,31,5389.0
4100.0,-126.0,27,5248.0
4105.0,141.0,35,5337.0
4110.0,-89.0,30,5438.0
4115.0,-101.0,40,5567.0
4120.0,-129.0,43,5484.0
4125.0,83.0,47,5677.0
4130.0,-193.0,49,5632.0
4135.0,45.0,52,5868.0
4140.0,-236.0,52,6039.0
4145.0,-171.0,52,6125.0
4150.0,-86.0,49,6064.0
4155.0,61.0,44,5634.0
4160.0,430.0,41,5774.0
4165.0,-140.0,40,5352.0
4170.0,422.0,36,5454.0
4175.0,-102.0,41,5319.0
4180.0,135.0,46,5479.0
4185.0,-160.0,56,5724.0
4190.0,-245.0,58,5690.0
4195.0,34.0,63,5977.0
4200.0,-287.0,65,5990.0
4205.0,-13.0,60,5547.0
4210.0,443.0,59,5841.0
4215.0,-294.0,60,5935.0
4220.0,-94.0,62,6232.0
4225.0,-297.0,66,6380.0
4230.0,-148.0,62,6397.0
4235.0,-17.0,60,6300.0
4240.0,97.0,53,6366.0
4245.0,-66.0,40,6456.0
4250.0,-90.0,39,6403.0
4255.0,53.0,39,6321.0
4260.0,82.0,40,6399.0
4265.0,-78.0,41,6524.0
4270.0,-125.0,48,6721.0
4275.0,-197.0,55,6873.0
4280.0,-152.0,59,6402.0
4285.0,471.0,56,6436.0
4290.0,-34.0,40,6523.0
4295.0,-87.0,41,6497.0
4300.0,26.0,39,6571.0
4305.0,-74.0,35,6542.0
4310.0,29.0,37,6671.0
4315.0,-129.0,44,6729.0
4320.0,-58.0,50,6962.0
4325.0,-233.0,56,7087.0
4330.0,-125.0,57,7084.0
4335.0,3.0,60,7136.0
4340.0,-52.0,66,7444.0
4345.0,-308.0,66,7735.0
4350.0,-291.0,68,8061.0
4355.0,-326.0,68,8366.0
4360.0,-305.0,64,8403.0
