reward,step_time,total_stopped,total_wait_time
71.0,2360.0,7,230.0
-24.0,2365.0,10,272.0
-42.0,2370.0,10,271.0
1.0,2375.0,8,213.0
58.0,2380.0,5,144.0
69.0,2385.0,4,134.0
10.0,2390.0,6,160.0
-26.0,2395.0,14,213.0
-53.0,2400.0,19,297.0
-84.0,2405.0,26,412.0
-115.0,2410.0,32,561.0
-149.0,2415.0,32,646.0
-85.0,2420.0,24,640.0
6.0,2425.0,17,556.0
84.0,2430.0,8,478.0
78.0,2435.0,4,363.0
115.0,2440.0,1,309.0
54.0,2445.0,6,300.0
9.0,2450.0,12,347.0
-47.0,2455.0,14,349.0
-2.0,2460.0,12,286.0
63.0,2465.0,6,161.0
125.0,2470.0,3,171.0
-10.0,2475.0,7,196.0
-25.0,2480.0,7,168.0
28.0,2485.0,4,130.0
38.0,2490.0,2,125.0
5.0,2495.0,8,153.0
-28.0,2500.0,8,155.0
-2.0,2505.0,5,119.0
36.0,2510.0,5,110.0
9.0,2515.0,8,143.0
-33.0,2520.0,14,201.0
-58.0,2525.0,21,292.0
-91.0,2530.0,20,338.0
-46.0,2535.0,21,334.0
4.0,2540.0,17,419.0
-85.0,2545.0,13,486.0
-67.0,2550.0,14,550.0
-64.0,2555.0,18,566.0
-16.0,2560.0,13,506.0
60.0,2565.0,12,501.0
5.0,2570.0,12,559.0
-58.0,2575.0,6,533.0
26.0,2580.0,4,440.0
93.0,2585.0,2,419.0
21.0,2590.0,7,444.0
-25.0,2595.0,12,496.0
-52.0,2600.0,19,580.0
-84.0,2605.0,25,698.0
-118.0,2610.0,33,849.0
-151.0,2615.0,31,905.0
-56.0,2620.0,22,825.0
80.0,2625.0,14,679.0
146.0,2630.0,7,675.0
4.0,2635.0,7,704.0
-29.0,2640.0,13,755.0
-51.0,2645.0,14,720.0
35.0,2650.0,12,552.0
168.0,2655.0,7,595.0
-43.0,2660.0,8,637.0
-42.0,2665.0,9,590.0
47.0,2670.0,7,459.0
131.0,2675.0,5,282.0
177.0,2680.0,2,281.0
1.0,2685.0,7,303.0
-22.0,2690.0,14,357.0
-54.0,2695.0,14,342.0
15.0,2700.0,12,232.0
110.0,2705.0,10,160.0
72.0,2710.0,6,132.0
28.0,2715.0,3,115.0
17.0,2720.0,0,73.0
42.0,2725.0,6,82.0
-9.0,2730.0,13,132.0
-50.0,2735.0,13,163.0
-31.0,2740.0,9,138.0
25.0,2745.0,7,166.0
-28.0,2750.0,8,201.0
-35.0,2755.0,13,258.0
-57.0,2760.0,20,347.0
-89.0,2765.0,26,466.0
-119.0,2770.0,34,621.0
-155.0,2775.0,32,704.0
-83.0,2780.0,27,656.0
48.0,2785.0,16,746.0
-90.0,2790.0,11,801.0
-55.0,2795.0,14,860.0
-59.0,2800.0,21,951.0
-91.0,2805.0,22,959.0
-8.0,2810.0,18,864.0
95.0,2815.0,16,947.0
-83.0,2820.0,15,1026.0
-79.0,2825.0,16,1101.0
-75.0,2830.0,17,1065.0
36.0,2835.0,14,913.0
152.0,2840.0,13,971.0
-58.0,2845.0,13,1035.0
-64.0,2850.0,14,1097.0
-62.0,2855.0,20,1186.0
-89.0,2860.0,23,1155.0
31.0,2865.0,17,986.0
169.0,2870.0,15,1001.0
-15.0,2875.0,12,1066.0
-65.0,2880.0,8,973.0
93.0,2885.0,5,739.0
234.0,2890.0,3,691.0
48.0,2895.0,9,719.0
-28.0,2900.0,13,777.0
-58.0,2905.0,14,707.0
70.0,2910.0,13,523.0
184.0,2915.0,15,582.0
-59.0,2920.0,13,644.0
-62.0,2925.0,10,592.0
52.0,2930.0,9,432.0
160.0,2935.0,8,464.0
-32.0,2940.0,10,505.0
-41.0,2945.0,9,455.0
50.0,2950.0,7,339.0
116.0,2955.0,5,196.0
143.0,2960.0,3,201.0
-5.0,2965.0,6,224.0
-23.0,2970.0,7,204.0
20.0,2975.0,4,145.0
59.0,2980.0,2,65.0
80.0,2985.0,1,60.0
5.0,2990.0,8,83.0
-23.0,2995.0,9,91.0
-8.0,3000.0,5,74.0
17.0,3005.0,4,55.0
19.0,3010.0,2,49.0
6.0,3015.0,8,71.0
-22.0,3020.0,7,86.0
-15.0,3025.0,4,61.0
25.0,3030.0,3,46.0
15.0,3035.0,2,39.0
7.0,3040.0,1,15.0
24.0,3045.0,6,37.0
-22.0,3050.0,14,89.0
-52.0,3055.0,20,174.0
-85.0,3060.0,26,292.0
-118.0,3065.0,30,433.0
-141.0,3070.0,33,593.0
-160.0,3075.0,37,771.0
-178.0,3080.0,38,961.0
-190.0,3085.0,33,1051.0
-90.0,3090.0,24,1017.0
34.0,3095.0,18,880.0
137.0,3100.0,7,914.0
-34.0,3105.0,7,929.0
-15.0,3110.0,7,873.0
