,buffer_size,step_time,total_stopped,total_wait_time
572,1059,3165.0,102,8801.0
573,1059,3170.0,120,9116.0
574,1060,3175.0,111,8895.0
575,1062,3180.0,88,8637.0
576,1062,3185.0,74,8175.0
577,1062,3190.0,100,7966.0
578,1064,3195.0,99,7799.0
579,1066,3200.0,90,7410.0
580,1069,3205.0,79,7414.0
581,1071,3210.0,83,7608.0
582,1074,3215.0,107,7849.0
583,1074,3220.0,122,7897.0
584,1076,3225.0,103,7924.0
585,1078,3230.0,95,7940.0
586,1081,3235.0,95,8162.0
587,1083,3240.0,102,8220.0
588,1086,3245.0,126,8000.0
589,1085,3250.0,152,8183.0
590,1086,3255.0,155,8539.0
591,1086,3260.0,164,8723.0
592,1087,3265.0,156,9131.0
593,1087,3270.0,135,9120.0
594,1087,3275.0,113,9167.0
595,1087,3280.0,116,9373.0
596,1087,3285.0,133,9676.0
597,1087,3290.0,141,10233.0
598,1087,3295.0,124,10621.0
599,1089,3300.0,113,10993.0
600,1092,3305.0,99,11525.0
601,1094,3310.0,127,11108.0
602,1094,3315.0,154,10736.0
603,1094,3320.0,163,10235.0
604,1094,3325.0,124,9603.0
605,1094,3330.0,81,9310.0
606,1095,3335.0,96,8971.0
607,1097,3340.0,103,8719.0
608,1097,3345.0,125,8339.0
609,1097,3350.0,142,8150.0
610,1097,3355.0,151,8741.0
611,1097,3360.0,153,9184.0
612,1097,3365.0,182,10215.0
613,1097,3370.0,195,11015.0
614,1097,3375.0,187,11487.0
615,1097,3380.0,172,12077.0
616,1097,3385.0,176,12894.0
617,1097,3390.0,180,13206.0
618,1098,3395.0,174,13433.0
619,1102,3400.0,152,13534.0
620,1105,3405.0,151,13490.0
621,1107,3410.0,134,13421.0
622,1108,3415.0,128,13606.0
623,1110,3420.0,126,13184.0
624,1112,3425.0,130,12649.0
625,1114,3430.0,121,11584.0
626,1120,3435.0,84,11865.0
627,1121,3440.0,102,11907.0
628,1122,3445.0,116,12066.0
629,1125,3450.0,138,12492.0
630,1125,3455.0,146,13040.0
631,1126,3460.0,134,12806.0
632,1130,3465.0,133,12288.0
633,1134,3470.0,127,11908.0
634,1137,3475.0,140,11819.0
635,1137,3480.0,141,11778.0
636,1140,3485.0,154,11815.0
