分钟,路口号+车道号,车流量
2024-10-20 05:39:00,EW,4
2024-10-20 05:39:00,NS,1
2024-10-20 05:39:00,SN,1
2024-10-20 05:39:00,SW,1
2024-10-20 05:39:00,WE,2
2024-10-20 05:40:00,EW,1
2024-10-20 05:40:00,NE,1
2024-10-20 05:40:00,NS,2
2024-10-20 05:40:00,SN,1
2024-10-20 05:40:00,WE,1
2024-10-20 05:41:00,ES,1
2024-10-20 05:41:00,EW,1
2024-10-20 05:41:00,NS,2
2024-10-20 05:41:00,SN,1
2024-10-20 05:41:00,SW,1
2024-10-20 05:41:00,WE,2
2024-10-20 05:41:00,WN,1
2024-10-20 05:42:00,EW,3
2024-10-20 05:42:00,NS,2
2024-10-20 05:42:00,SN,1
2024-10-20 05:42:00,SW,1
2024-10-20 05:42:00,WE,5
2024-10-20 05:43:00,EW,1
2024-10-20 05:43:00,NS,1
2024-10-20 05:43:00,SW,1
2024-10-20 05:44:00,EW,1
2024-10-20 05:44:00,NE,1
2024-10-20 05:44:00,NS,3
2024-10-20 05:44:00,SW,1
2024-10-20 05:44:00,WE,5
2024-10-20 05:44:00,WN,1
2024-10-20 05:45:00,ES,1
2024-10-20 05:45:00,EW,2
2024-10-20 05:45:00,SN,2
2024-10-20 05:45:00,SW,1
2024-10-20 05:46:00,NS,1
2024-10-20 05:46:00,SW,1
2024-10-20 05:46:00,WE,3
2024-10-20 05:47:00,NS,1
2024-10-20 05:47:00,SN,1
2024-10-20 05:47:00,SW,1
2024-10-20 05:47:00,WE,1
2024-10-20 05:48:00,NS,3
2024-10-20 05:48:00,SN,2
2024-10-20 05:48:00,SW,2
2024-10-20 05:48:00,WN,1
2024-10-20 05:49:00,EW,1
2024-10-20 05:49:00,NE,1
2024-10-20 05:49:00,NS,1
2024-10-20 05:49:00,SN,1
2024-10-20 05:50:00,ES,1
2024-10-20 05:50:00,EW,1
2024-10-20 05:50:00,NS,3
2024-10-20 05:50:00,SW,2
2024-10-20 05:50:00,WE,2
2024-10-20 05:50:00,WN,1
2024-10-20 05:51:00,NS,2
2024-10-20 05:51:00,SN,4
2024-10-20 05:51:00,SW,1
2024-10-20 05:51:00,WE,1
2024-10-20 05:51:00,WN,2
2024-10-20 05:52:00,EW,1
2024-10-20 05:52:00,NS,3
2024-10-20 05:52:00,SN,1
2024-10-20 05:52:00,SW,1
2024-10-20 05:52:00,WE,2
2024-10-20 05:53:00,EW,2
2024-10-20 05:53:00,SN,1
2024-10-20 05:53:00,SW,1
2024-10-20 05:53:00,WE,1
2024-10-20 05:53:00,WN,1
2024-10-20 05:54:00,ES,1
2024-10-20 05:54:00,EW,2
2024-10-20 05:54:00,SN,2
2024-10-20 05:54:00,WE,2
2024-10-20 05:54:00,WN,3
2024-10-20 05:55:00,NS,3
2024-10-20 05:55:00,SW,2
2024-10-20 05:55:00,WE,1
2024-10-20 05:56:00,NS,1
2024-10-20 05:56:00,SN,1
2024-10-20 05:56:00,SW,2
2024-10-20 05:56:00,WE,5
2024-10-20 05:56:00,WN,1
2024-10-20 05:57:00,ES,2
